run,seed,generation,best_accuracy_percent,best_fmeasure,tree_size,expression,expression_with_column_names
1,479,1,78.688525,0.000000,3,"(x6 - 6)","(breast - 6)"
1,479,2,79.234973,0.344828,5,"(x8 + (4 - 5))","(irradiat + (4 - 5))"
1,479,3,79.234973,0.344828,5,"(x8 + (4 - 5))","(irradiat + (4 - 5))"
1,479,4,79.234973,0.344828,5,"(x8 + (4 - 5))","(irradiat + (4 - 5))"
1,479,5,79.781421,0.139535,9,"(x8 + ((x7 - 7) + (x5 - x4)))","(irradiat + ((breast_quad - 7) + (degree_of_malignancy - node_caps)))"
1,479,6,80.874317,0.222222,9,"(x8 + ((x5 - 7) + (x5 - x4)))","(irradiat + ((degree_of_malignancy - 7) + (degree_of_malignancy - node_caps)))"
1,479,7,80.874317,0.222222,9,"(x8 + ((x5 - 7) + (x5 - x4)))","(irradiat + ((degree_of_malignancy - 7) + (degree_of_malignancy - node_caps)))"
1,479,8,81.420765,0.291667,11,"(x8 + (x8 + ((x5 - 7) + (x5 - x4))))","(irradiat + (irradiat + ((degree_of_malignancy - 7) + (degree_of_malignancy - node_caps))))"
1,479,9,81.420765,0.291667,9,"((x8 + ((x5 - 7) + x5)) + x8)","((irradiat + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,10,81.967213,0.326531,11,"((x8 + ((x5 - 7) / (x5 - x4))) + x8)","((irradiat + ((degree_of_malignancy - 7) / (degree_of_malignancy - node_caps))) + irradiat)"
1,479,11,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,12,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,13,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,14,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,15,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,16,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,17,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,18,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,19,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,20,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,21,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,22,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,23,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,24,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,25,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,26,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,27,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,28,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,29,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,30,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,31,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,32,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,33,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,34,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,35,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,36,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,37,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,38,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,39,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,40,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,41,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,42,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,43,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,44,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,45,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,46,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,47,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,48,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,49,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,50,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,51,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,52,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,53,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,54,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,55,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,56,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,57,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,58,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,59,82.513661,0.360000,9,"((x5 - 7) + (x4 + (x8 + x5)))","((degree_of_malignancy - 7) + (node_caps + (irradiat + degree_of_malignancy)))"
1,479,60,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,61,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,62,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,63,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,64,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,65,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,66,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,67,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,68,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,69,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,70,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,71,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,72,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,73,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,74,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,75,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,76,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,77,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,78,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,79,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,80,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,81,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,82,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,83,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,84,82.513661,0.360000,9,"(x8 + (x4 + ((x5 - 7) + x5)))","(irradiat + (node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)))"
1,479,85,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,86,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
1,479,87,82.513661,0.360000,9,"((x4 + ((x5 - 7) + x5)) + x8)","((node_caps + ((degree_of_malignancy - 7) + degree_of_malignancy)) + irradiat)"
